recno,rho,T,P,u
180,1.8,100.0,832.5554,-1282.089
181,2.0,100.0,1092.116,-1217.782
182,2.2,100.0,1314.41,-1176.268
183,3.0,100.0,2585.65,-951.8173
184,4.0,100.0,4706.34,-660.7543
185,5.0,100.0,7485.734,-348.744
186,9.0,100.0,23033.3,765.82
187,12.0,100.0,39545.8,1603.39
188,15.0,100.0,59800.6,2415.0
189,20.0,100.0,101269.0,3713.52
190,30.0,100.0,210562.0,6143.35
191,50.0,100.0,522972.0,10573.0
192,70.0,100.0,945621.0,14596.9
193,100.0,100.0,1761906.0,20112.72
194,150.0,100.0,3563255.0,28440.63
195,200.0,100.0,5857543.0,36042.89
196,250.0,100.0,8601783.0,43133.97
197,300.0,100.0,1.176526E7,49835.82
198,350.0,100.0,1.532444E7,56226.42
199,400.0,100.0,1.926042E7,62359.6
200,450.0,100.0,2.355755E7,68274.51
201,500.0,100.0,2.820252E7,74000.8
202,600.0,100.0,3.849148E7,84975.56
203,700.0,100.0,5.005073E7,95420.56
204,800.0,100.0,6.281888E7,105429.4
205,900.0,100.0,7.674517E7,115069.9
206,1000.0,100.0,9.178645E7,124392.8
207,1200.0,100.0,1.250702E8,142237.3
208,1400.0,100.0,1.624221E8,159195.9
209,1600.0,100.0,2.036445E8,175427.5
210,1800.0,100.0,2.485501E8,191049.7
211,3.0E-8,200.0,2.474975E-8,-1588.048
212,4.0E-8,200.0,3.299966E-8,-1588.048
213,5.0E-8,200.0,4.124959E-8,-1588.048
214,6.0E-8,200.0,4.949951E-8,-1588.048
215,7.0E-8,200.0,5.774943E-8,-1588.048
216,8.0E-8,200.0,6.599935E-8,-1588.048
217,9.0E-8,200.0,7.424927E-8,-1588.048
218,1.0E-7,200.0,8.249919E-8,-1588.048
219,2.0E-7,200.0,1.649984E-7,-1588.048
220,3.0E-7,200.0,2.474978E-7,-1588.048
221,4.0E-7,200.0,3.299971E-7,-1588.048
222,5.0E-7,200.0,4.124966E-7,-1588.048
223,6.0E-7,200.0,4.949961E-7,-1588.048
224,7.0E-7,200.0,5.774956E-7,-1588.048
225,8.0E-7,200.0,6.599952E-7,-1588.048
226,9.0E-7,200.0,7.424949E-7,-1588.048
227,1.0E-6,200.0,8.249946E-7,-1588.048
228,2.0E-6,200.0,1.649995E-6,-1588.048
229,3.0E-6,200.0,2.475002E-6,-1588.048
230,4.0E-6,200.0,3.300014E-6,-1588.049
231,5.0E-6,200.0,4.125033E-6,-1588.049
232,6.0E-6,200.0,4.950057E-6,-1588.049
233,7.0E-6,200.0,5.775088E-6,-1588.049
234,8.0E-6,200.0,6.600124E-6,-1588.049
235,9.0E-6,200.0,7.425165E-6,-1588.049
236,1.0E-5,200.0,8.250213E-6,-1588.049
237,2.0E-5,200.0,1.650102E-5,-1588.049
238,3.0E-5,200.0,2.475243E-5,-1588.049
239,4.0E-5,200.0,3.300443E-5,-1588.049
240,5.0E-5,200.0,4.125703E-5,-1588.049
241,6.0E-5,200.0,4.951022E-5,-1588.049
242,7.0E-5,200.0,5.776401E-5,-1588.049
243,8.0E-5,200.0,6.60184E-5,-1588.049
244,9.0E-5,200.0,7.427338E-5,-1588.049
245,1.0E-4,200.0,8.252896E-5,-1588.049
246,2.0E-4,200.0,1.651178E-4,-1588.05
247,3.0E-4,200.0,2.477668E-4,-1588.05
248,4.0E-4,200.0,3.304765E-4,-1588.051
249,5.0E-4,200.0,4.132472E-4,-1588.052
250,6.0E-4,200.0,4.960792E-4,-1588.052
251,7.0E-4,200.0,5.78973E-4,-1588.052
252,8.0E-4,200.0,6.61929E-4,-1588.053
253,9.0E-4,200.0,7.449474E-4,-1588.054
254,0.001,200.0,8.280289E-4,-1588.055
255,0.002,200.0,0.001662392,-1588.061
256,0.003,200.0,0.002503487,-1588.067
257,0.004,200.0,0.003351733,-1588.073
258,0.005,200.0,0.004207559,-1588.08
259,0.006,200.0,0.005071416,-1588.086
260,0.007,200.0,0.005943766,-1588.092
261,0.008,200.0,0.006825092,-1588.098
262,0.009,200.0,0.007715894,-1588.105
263,0.01,200.0,0.008616692,-1588.111
264,0.02,200.0,0.01830165,-1588.172
265,0.03,200.0,0.02970192,-1588.232
266,0.04,200.0,0.04368797,-1588.288
267,0.05,200.0,0.06139017,-1588.339
268,0.06,200.0,0.08423047,-1588.383
269,0.07,200.0,0.1139463,-1588.417
270,0.08,200.0,0.1526233,-1588.438
271,0.09,200.0,0.2026352,-1588.442
272,0.1,200.0,0.2667505,-1588.427
273,0.2,200.0,2.609027,-1585.552
274,0.3,200.0,9.201324,-1578.421
275,0.4,200.0,21.62814,-1567.396
276,0.5,200.0,40.27136,-1551.593
277,0.6,200.0,63.00735,-1535.511
278,0.7,200.0,92.53759,-1518.221
279,0.8,200.0,126.1397,-1500.311
280,0.9,200.0,166.8267,-1483.417
281,1.0,200.0,211.5001,-1468.141
282,1.2,200.0,328.9142,-1424.264
283,1.4,200.0,471.0571,-1378.816
284,1.6,200.0,634.967,-1330.341
285,1.8,200.0,836.6895,-1279.437
286,2.0,200.0,1084.802,-1224.619
287,2.2,200.0,1318.38,-1173.689
288,3.0,200.0,2590.16,-949.2933
289,4.0,200.0,4715.61,-658.3573
290,5.0,200.0,7494.6,-347.281
291,9.0,200.0,23076.2,772.81
292,12.0,200.0,39569.2,1606.64
293,15.0,200.0,59829.1,2417.93
294,20.0,200.0,101376.0,3722.8
295,30.0,200.0,210748.0,6155.2
296,50.0,200.0,523024.0,10574.5
297,70.0,200.0,945721.0,14599.4
298,100.0,200.0,1762268.0,20122.7
299,150.0,200.0,3563823.0,28451.27
300,200.0,200.0,5858327.0,36054.02
301,250.0,200.0,8602792.0,43145.51
302,300.0,200.0,1.17665E7,49847.69
303,350.0,200.0,1.532592E7,56238.6
304,400.0,200.0,1.926214E7,62372.04
305,450.0,200.0,2.355951E7,68287.19
306,500.0,200.0,2.820474E7,74013.7
307,600.0,200.0,3.849421E7,84988.83
308,700.0,200.0,5.005399E7,95434.18
309,800.0,200.0,6.282269E7,105443.3
310,900.0,200.0,7.674953E7,115084.0
311,1000.0,200.0,9.179137E7,124407.3
312,1200.0,200.0,1.250762E8,142252.2
313,1400.0,200.0,1.624293E8,159211.1
314,1600.0,200.0,2.036529E8,175443.1
315,1800.0,200.0,2.485597E8,191065.6
316,3.0E-8,300.0,3.712463E-8,-1587.019
317,4.0E-8,300.0,4.94995E-8,-1587.019
318,5.0E-8,300.0,6.187439E-8,-1587.019
319,6.0E-8,300.0,7.424928E-8,-1587.019
320,7.0E-8,300.0,8.662416E-8,-1587.019
321,8.0E-8,300.0,9.899904E-8,-1587.019
322,9.0E-8,300.0,1.113739E-7,-1587.019
323,1.0E-7,300.0,1.237488E-7,-1587.019
324,2.0E-7,300.0,2.474978E-7,-1587.019
325,3.0E-7,300.0,3.71247E-7,-1587.019
326,4.0E-7,300.0,4.949961E-7,-1587.019
327,5.0E-7,300.0,6.187455E-7,-1587.019
328,6.0E-7,300.0,7.424951E-7,-1587.019
329,7.0E-7,300.0,8.662449E-7,-1587.019
330,8.0E-7,300.0,9.899948E-7,-1587.019
331,9.0E-7,300.0,1.113745E-6,-1587.019
332,1.0E-6,300.0,1.237495E-6,-1587.019
333,2.0E-6,300.0,2.475005E-6,-1587.019
334,3.0E-6,300.0,3.712528E-6,-1587.019
335,4.0E-6,300.0,4.950066E-6,-1587.019
336,5.0E-6,300.0,6.18762E-6,-1587.019
337,6.0E-6,300.0,7.425189E-6,-1587.019
338,7.0E-6,300.0,8.662773E-6,-1587.019
339,8.0E-6,300.0,9.900371E-6,-1587.019
340,9.0E-6,300.0,1.113798E-5,-1587.019
341,1.0E-5,300.0,1.237561E-5,-1587.019
342,2.0E-5,300.0,2.475269E-5,-1587.019
343,3.0E-5,300.0,3.713123E-5,-1587.019
344,4.0E-5,300.0,4.951123E-5,-1587.019
345,5.0E-5,300.0,6.189271E-5,-1587.019
346,6.0E-5,300.0,7.427566E-5,-1587.02
347,7.0E-5,300.0,8.666009E-5,-1587.02
348,8.0E-5,300.0,9.904599E-5,-1587.02
349,9.0E-5,300.0,1.114334E-4,-1587.02
350,1.0E-4,300.0,1.238222E-4,-1587.02
351,2.0E-4,300.0,2.477916E-4,-1587.02
352,3.0E-4,300.0,3.719087E-4,-1587.021
353,4.0E-4,300.0,4.961741E-4,-1587.021
354,5.0E-4,300.0,6.205886E-4,-1587.022
355,6.0E-4,300.0,7.451524E-4,-1587.022
356,7.0E-4,300.0,8.698663E-4,-1587.022
357,8.0E-4,300.0,9.947306E-4,-1587.023
358,9.0E-4,300.0,0.001119746,-1587.024
359,0.001,300.0,0.001244913,-1587.024
360,0.002,300.0,0.002505057,-1587.029
361,0.003,300.0,0.003781011,-1587.034
362,0.004,300.0,0.005073369,-1587.04
363,0.005,300.0,0.00638275,-1587.045
364,0.006,300.0,0.007709781,-1587.05
365,0.007,300.0,0.009055116,-1587.055
366,0.008,300.0,0.01041942,-1587.06
367,0.009,300.0,0.01180337,-1587.065
368,0.01,300.0,0.01320769,-1587.07
369,0.02,300.0,0.0285395,-1587.117
370,0.03,300.0,0.04683161,-1587.161
371,0.04,300.0,0.06914047,-1587.199
372,0.05,300.0,0.09676687,-1587.228
373,0.06,300.0,0.1312777,-1587.247
374,0.07,300.0,0.1745158,-1587.253
375,0.08,300.0,0.2286232,-1587.243
376,0.09,300.0,0.2959861,-1587.215
377,0.1,300.0,0.3793186,-1587.165
378,0.2,300.0,2.994514,-1583.153
379,0.3,300.0,10.12765,-1575.006
380,0.4,300.0,22.75105,-1564.921
381,0.5,300.0,41.33359,-1550.968
382,0.6,300.0,65.85222,-1534.197
383,0.7,300.0,97.50231,-1515.462
384,0.8,300.0,133.4816,-1497.551
385,0.9,300.0,174.7741,-1479.306
386,1.0,300.0,209.4501,-1463.859
387,1.2,300.0,332.0847,-1423.493
388,1.4,300.0,472.1927,-1375.904
389,1.6,300.0,635.341,-1328.669
390,1.8,300.0,841.358,-1278.517
391,2.0,300.0,1069.494,-1222.615
392,2.2,300.0,1323.89,-1170.521
393,3.0,300.0,2598.03,-946.5763
394,4.0,300.0,4723.73,-655.9933
395,5.0,300.0,7401.65,-360.085
396,9.0,300.0,23025.3,766.11
397,12.0,300.0,39579.3,1607.69
398,15.0,300.0,59852.3,2420.42
399,20.0,300.0,101400.0,3724.57
400,30.0,300.0,210795.0,6157.53
401,50.0,300.0,523062.0,10575.6
402,70.0,300.0,945769.0,14600.2
403,100.0,300.0,1762560.0,20130.53
404,150.0,300.0,3564277.0,28459.56
405,200.0,300.0,5858950.0,36062.67
406,250.0,300.0,8603591.0,43154.46
407,300.0,300.0,1.176748E7,49856.9
408,350.0,300.0,1.532708E7,56248.03
409,400.0,300.0,1.926349E7,62381.66
